Name,Author,CatID,PubID,TitleID,PlaceID,Pages,Press,Parts,Notes
المؤسسات العامة في المملكة العربية السعودية,الدكتور نواف كنعان - الدكتور محمود عاطف البنا,36,995,NULL,17,353,الاولى,NULL,
الموسوعة الميسرة في الاديان والمذاهب المعاصرة,الندوة العالمية للشباب الاسلامي,11,1043,NULL,17,575,,NULL,
الموسوعة العلمية والعملية للبنوك الاسلامية - الجزء الاول,اتحاد البنوك الاسلامية -  بتوجيه من الامير محمد الفيصل آل سعود,24,1078,NULL,17,286,الاولى,4,
الموسوعة العلمية والعملية للبنوك الاسلامية - الجزء الثاني,اتحاد البنوك الاسلامية,24,1078,NULL,17,519,الاولى,4,
الموسوعة العلمية والعملية للبنوك الاسلامية - الجزء الثالث,اتحاد البنوك الاسلامية,24,1078,NULL,17,560,الاولى,4,
الموسوعة العلمية والعملية للبنوك الاسلامية - الجزء الرابع,اتحاد البنوك الاسلامية,24,1078,NULL,17,599,الاولى,4,
احداث العالم الاسلامي -  شؤونه وقضاياه,"وكالة الانباء الاسلامية ""اينا""",NULL,1157,NULL,17,278,,NULL,
بحوث مختارة من ندوة التكامل الاقتصادي لدول مجلس التعاون الخليجي,عمادة شؤون المكتبات,186,1176,NULL,17,341,,NULL,
العدوان العراقي على دولة الكويت,ادارة الفتوى والتشريع,186,NULL,NULL,26,476,,NULL,
في الحرب - الجزء الثاني,كارل فون كلاوزفيتز - تعريب اكرم ديري,86,6,NULL,26,347,,NULL,
في الحرب - الجزء الثالث,كارل فون كلاوزفيتز - تعريب اكرم ديري,86,6,NULL,26,159,,NULL,
سبل السلام شرح بلوغ المرام من ادلة الاحكام - الجزء الثالث,الامام محمد بن اسماعيل الكحلاني ثم الصنعاني المعروف بالامير,NULL,8,NULL,26,239,,2,المجلد الثاني يحتوي على الجزئين 3 و 4
رسائل ابن نجيم القاتصادية والمسماة الرسائل الزينية في مذهب الحنفية,د. محمد احمد سراج - د. علي جمعة محمد,165,47,NULL,26,630,الاولى,NULL,
اساليب الغزو الفكري للعالم الاسلامي,د. علي محمد جريشة - محمد شريف الزيبق,141,385,NULL,26,26,الاولى,NULL,
التمرينات والعروض الرياضية,موسى فهمي ابراهيم - عادل علي حسن,99,520,NULL,26,712,,NULL,
الاسلام والقرن الواحد والعشرون شروط نهضة المسلمين,روجيه جارودي - ترجمة د. كمال جادالله,17,567,NULL,26,136,الاولى,NULL,
وجاء دور المجوس - الابعاد التاريخية والعقائدية والسياسية للثورة الايرانية,دكتور عبدالله محمد الغريب,54,591,NULL,26,500,,NULL,
الفوضوية والنقابية,ماركس - انجلز -  لينين (ترجمة حمدي عبدالجواد),76,627,NULL,26,294,الاولى,NULL,
مبادئ منهج البحث الاولية في العلوم الانسانية,د. عبدالرحيم صدقي,71,627,NULL,26,118,الثانية,NULL,
موسوعة الشروق,دار الشروق,9,662,NULL,26,319,,NULL,
الامول - ابو جعفر احمد بن نصر الداوودي,د. محمد احمد سراج - د. علي جمعة محمد,NULL,1064,NULL,26,448,الاولى,NULL,
ماذا بعد عاصفة الخليج - رؤية عالمية لمستقبل الشرق الاوسط,مركز الاهرام,86,1083,NULL,26,207,الاولى,NULL,
الكداب .. بالصوت والصورة,ابراهيم سعدة,108,1136,NULL,26,199,,NULL,
القادة - اسرار صناعة القرار الاميركي لحرب الخليج,بوب وودورد,106,1154,NULL,26,305,الاولى,NULL,
حقوق الانسان في الوطن العربي,المنظمة العربية لحقوق الانسان,181,1156,NULL,26,295,,NULL,
 المؤتمر الدولي للصناعة التأمينية في العالم الاسلامي واقعها ومستقبلها - الجزء الاول,مركز صالح عبدالله كامل للاقتصاد الاسلامي,61,1178,NULL,26,NULL,,2,ال
 المؤتمر الدولي للصناعة التأمينية في العالم الاسلامي واقعها ومستقبلها - الجزء الثاني,مركز صالح عبدالله كامل للاقتصاد الاسلامي,61,1178,NULL,26,NULL,,NULL,
محاضرات الملتقى الخامس للتعرف على الفكر الاسلامي,وزارة التعليم الاصلي والشئون الاسلامية,186,NULL,NULL,10,471,,NULL,
البنوك الاسلامية,محمد بوجلال,NULL,374,NULL,10,193,,NULL,
كتاب صيحة الحق,الفاضل ابي الوفاء الشيخ محمد درويش,NULL,NULL,NULL,91,371,السادسة,NULL,اهداء من : بدر المذكور
مشروع خطة ديوان الخدمة المدنية لسنوات الخطة الانمائية,ديوان الخدمة المدنية,154,1266,NULL,91,62,,NULL,
الخليج مفاتيح لفهم حرب معلنة,الن غريش - دومنيك فيدال (ترجمة ابراهيم العريس),86,204,NULL,90,293,الاوى,NULL,
ميشيل هيلير السكرتير السابع والاخير - نشوء وانهيار الامبراطورية الشيوعية,ترجمة د. نظير جاهل - د. حسن الضيقة,NULL,176,NULL,56,452,,NULL,
النخبة والمجتمع,ت.  بوتومور - ترجمة جورج جحا,NULL,265,NULL,56,173,الاولى,NULL,
مجموعة رسائل الامام الشهيد حسن البنا,,NULL,337,NULL,56,382,,NULL,
الاستراتيجية العسكرية السوفياتية,الماريشال سوكولوفسيكي - ترجمة خيري حماد,86,1243,NULL,56,637,,NULL,
ميخائيل جورباتشوف البيريسترويكا - تفكير جديد لبلادنا وللعالم,ترجمة  حمدي عبدالجواد,NULL,662,NULL,27,3310,الثالثة,NULL,
هداية البيان في تفسير القران - الجزء الثاني,راشد عبدالله الفرحان,72,1019,NULL,79,380,,4,
الكتاب الاسود وثائق ومشاهدات - الغزو العراقي للكويت,الشركة السعودية للابحاث للتسويق الدولية,45,259,NULL,97,462,,NULL,
